label,hand_mode,recorded_hand,R.Thumb,R.Index,R.Middle,R.Ring,R.Pinky,L.Thumb,L.Index,L.Middle,L.Ring,L.Pinky,aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3120,0.3880,-0.5820,0.2630,-0.4950,0.8830,-7.8824,-10.0931,1.5580,1.5071,1.1297,1.3357
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3220,0.4090,-0.6550,0.2590,-0.5010,0.8730,-9.4624,17.7969,5.4780,0.4871,-1.9403,-0.8643
GOOD,either_hand,right,0.0000,0.9611,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4050,0.5300,-0.8090,0.2720,-0.5060,0.8860,-18.0824,25.5969,4.1780,0.9571,-1.6903,-1.1743
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5170,0.6510,-1.0130,0.2570,-0.5210,0.8880,0.4876,20.6969,7.2180,0.7671,-3.7903,-0.0043
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5210,0.6520,-0.9770,0.2660,-0.4980,0.8690,7.9676,-4.9931,-6.3020,0.2871,-0.4603,0.5457
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4480,0.5330,-0.7860,0.2700,-0.4770,0.8710,23.5876,-18.1631,-2.3620,1.4871,-0.2803,0.8057
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3760,0.4320,-0.6400,0.2690,-0.5100,0.8830,14.9976,-18.1031,1.5680,0.4171,-0.4603,1.6357
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3190,0.3760,-0.6020,0.2640,-0.5180,0.8820,-1.7924,-6.6231,4.3780,0.5671,-0.2303,0.2857
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3300,0.4470,-0.6670,0.2700,-0.4960,0.8720,-8.5824,19.2769,5.8980,-0.0529,-0.5003,-0.6143
GOOD,either_hand,right,0.0000,0.9698,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4300,0.5670,-0.8410,0.2770,-0.5020,0.8920,-15.2824,20.4269,7.6880,0.2871,-1.6703,-1.0843
